GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,Updated,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,IsClosed,NeutralVenue,DateTimeUTC
7782,2016,1,Final,2015-11-10T00:00:00,2015-11-10T20:00:00,DAL,NO,25,23,23,105.0,120.0,2023-10-02T15:39:08,20007782,20000025,20000023,True,False,2015-11-11T01:00:00
7787,2016,1,Final,2015-11-11T00:00:00,2015-11-11T19:00:00,NY,CHA,6,2,2,93.0,95.0,2023-10-02T15:39:08,20007787,20000006,20000002,True,False,2015-11-12T00:00:00
7785,2016,1,Final,2015-11-11T00:00:00,2015-11-11T19:00:00,LAL,ORL,27,5,5,99.0,101.0,2023-10-02T15:39:08,20007785,20000027,20000005,True,False,2015-11-12T00:00:00
7786,2016,1,Final,2015-11-11T00:00:00,2015-11-11T19:00:00,TOR,PHI,10,7,7,119.0,103.0,2023-10-02T15:39:08,20007786,20000010,20000007,True,False,2015-11-12T00:00:00
7788,2016,1,Final,2015-11-11T00:00:00,2015-11-11T19:30:00,IND,BOS,13,9,9,102.0,91.0,2023-10-02T15:39:08,20007788,20000013,20000009,True,False,2015-11-12T00:30:00
7789,2016,1,Final,2015-11-11T00:00:00,2015-11-11T20:00:00,NO,ATL,23,3,3,98.0,106.0,2023-10-02T15:39:08,20007789,20000023,20000003,True,False,2015-11-12T01:00:00
7790,2016,1,Final,2015-11-11T00:00:00,2015-11-11T20:00:00,LAC,DAL,28,25,25,108.0,118.0,2023-10-02T15:39:08,20007790,20000028,20000025,True,False,2015-11-12T01:00:00
7791,2016,1,Final,2015-11-11T00:00:00,2015-11-11T20:00:00,BKN,HOU,8,22,22,106.0,98.0,2023-10-02T15:39:08,20007791,20000008,20000022,True,False,2015-11-12T01:00:00
7792,2016,1,Final,2015-11-11T00:00:00,2015-11-11T20:00:00,GS,MEM,26,21,21,100.0,84.0,2023-10-02T15:39:08,20007792,20000026,20000021,True,False,2015-11-12T01:00:00
7793,2016,1,Final,2015-11-11T00:00:00,2015-11-11T21:00:00,MIL,DEN,15,20,20,102.0,103.0,2023-10-02T15:39:08,20007793,20000015,20000020,True,False,2015-11-12T02:00:00
