Team,m,Wins,Losses,Possessions,FantasyPoints,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingPercentage,PlusMinus,DoubleDoubles,TripleDoubles,SeasonType,WinPercentage
BKN,m3,0.2857142857142857,0.7142857142857143,106.87857142857142,237.05714285714288,49.971428571428575,58.364285714285714,59.82142857142857,37.957142857142856,83.32857142857142,11.721428571428572,33.98571428571429,45.24285714285714,29.82857142857143,9.978571428571428,5.914285714285714,13.385714285714286,22.135714285714283,121.42142857142858,61.57857142857143,-11.37142857142857,1.1142857142857143,0.0,1.0,0.2857142857142857
BKN,m4,0.3333333333333333,0.6666666666666666,104.76666666666667,222.6,48.666666666666664,56.86666666666667,55.78333333333333,39.324999999999996,84.8,11.15,34.625,45.300000000000004,29.05,7.816666666666666,4.8999999999999995,13.233333333333334,21.175,114.18333333333334,59.89166666666667,-39.725,0.3,0.0,1.0,0.3333333333333333
BKN,m5,0.375,0.625,104.1375,224.66875,49.8125,58.29375,56.84375,39.7125,82.9875,12.375,33.38125,45.46875,26.7125,8.775,5.4,14.2625,18.5375,117.75,61.73125,-12.681249999999999,0.6,0.0,1.0,0.375
BKN,m6,0.42857142857142855,0.5714285714285714,103.74285714285713,217.22857142857143,49.34285714285714,56.15714285714286,57.300000000000004,36.228571428571435,81.95714285714287,12.528571428571428,39.300000000000004,51.65714285714286,22.685714285714287,5.142857142857143,8.17142857142857,15.485714285714284,17.04285714285714,111.95714285714287,59.84285714285714,-46.199999999999996,0.8571428571428571,0.0,1.0,0.42857142857142855
BOS,m0,34.0,17.0,139.13896341463416,312.1370731707317,68.6,80.94999999999999,81.95,53.2,116.65,13.756341463414632,49.60323170731707,63.35957317073171,36.313963414634145,8.852743902439023,8.44079268292683,17.755304878048783,25.709756097560977,164.8008536585366,85.85,34.08475609756097,1.3764634146341463,0.01951219512195122,,0.6666666666666666
BOS,m1,0.7777777777777778,0.2222222222222222,114.83888888888889,259.1611111111111,55.31111111111111,65.46666666666667,68.22222222222223,42.31111111111111,92.21666666666667,12.516666666666667,43.105555555555554,55.21111111111111,29.09444444444445,8.283333333333333,7.277777777777778,15.122222222222222,20.711111111111112,136.27222222222224,69.41111111111111,55.99444444444444,1.0777777777777777,0.0,1.0,0.7777777777777778
BOS,m2,0.8571428571428571,0.14285714285714285,115.93571428571428,282.4642857142857,58.30714285714286,69.17142857142856,68.45,46.25,96.46428571428571,14.335714285714285,41.528571428571425,55.75,31.807142857142857,9.178571428571429,9.257142857142856,14.214285714285714,19.678571428571427,148.25714285714284,72.77857142857142,68.64285714285714,1.3785714285714286,0.0,1.0,0.8571428571428571
BOS,m3,0.6875,0.3125,115.7875,268.0,55.01875,65.94375,63.125,46.175,93.29375,12.3875,43.15,55.00625,29.8125,7.5625,9.10625,13.025,19.775,140.275,70.10625,42.1125,1.1125,0.0875,1.0,0.6875
BOS,m4,0.9,0.1,112.54,276.89,60.82000000000001,71.63,73.53,44.85,98.86,11.48,43.489999999999995,54.489999999999995,33.160000000000004,8.84,8.47,13.879999999999999,19.11,142.99,74.87,90.24,0.95,0.0,1.0,0.9
BOS,m5,0.75,0.25,111.0375,274.875,57.55,68.9625,65.2375,48.39375,95.1125,13.325,38.7375,51.71875,33.31875,9.35625,8.34375,11.78125,16.625,142.61875,72.05,86.8,0.78125,0.0875,1.0,0.75
